"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"XH5CB6K9","journalArticle","1990","Anagnostou I., Kyriatzi Ev., Vargas Ar., Andreou St.","Anaskaphi Toumbas Thessalonikis 1990. Oi ergasies stin plagia tis Toumbas","AErgoMak","","","","","","1990","2016-02-04 19:05:49","2016-02-04 19:05:49","","277-288","","","4","","","Anagnostou et al. 1990","","","","","","","","","","","","","","Nichts neo. erwähnt.!!!","","","","Alles; Frühbronzezeit; Grabungsbericht; Makedonien Zentral; Neo75-93-ASK; Nordgriechenland; Toumba Thessalonikis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U2FQ6HI7","journalArticle","1989","Kotsakis K.","The Langadas Basin Intensive Survey. First preliminary report, the 1986","Egnatia","","","","","","1989","2016-02-04 19:05:47","2016-02-04 19:05:47","","Jan 14","","","1","","","Kotsakis 1989","","","","","","","","","","","","","","","","","","Alles; Grabungsbericht; Makedonien Zentral; Neo75-93-ASK; Nordgriechenland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8CNHDZDR","journalArticle","1991","Liphschitz N. et al.","The beginning of olive (Olea europaea) cultivation in the Old World: a","JAScien","","","","","","1991","2016-02-04 19:05:45","2016-02-04 19:05:45","","441-453","","","18","","","Liphschitz 1991","","","","","","","","","","","","","","IUF Z 8447 GB: Ab Neol. Betrifft nur Israel","","","","Frühbronzezeit; Landwirtschaft; Neo75-93-ASK; Neolith; Rand","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2IDIV8T2","journalArticle","1990","Orfanidis L.","Ta neolithika anthropómorpha eidolia tis Lakonias","Lakonikes Spoudes","","","","","","1990","2016-02-04 19:05:44","2016-02-04 19:05:44","","183-195","","","","","","Orfanidis 1990","","","","","","","","","","","","","","","","","","Figurinen; Lakonien; Neo75-93-ASK; Neolithikum; Peloponnes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9TC3ZK8I","bookSection","","Renfrew J.","Seeds from Area K","","","","","","","","2016-02-04 19:05:42","2016-02-04 19:05:42","","127-128","","","","","","Renfrew J.M. 1977","","","","","","","","","","","","","","","","","","Keos; Kephala; Kykladen; Landwirtschaft; Neo75-93-ASK; Neolithikum","","","","","","","","","","","","","","","","","","","","","Coleman 1977","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WVZG84V7","bookSection","","Kapetanios A.","Protoelladiki periodos sti Skoteini","","","","","","","","2016-02-04 19:05:40","2016-02-04 19:05:40","","304-313","","","","","","Kapetanios 1993","","","","","","","","","","","","","","","","","","Euböa; Frühbronzezeit; Grabungsbericht; Keramik; Mittelgriechenland; Neo75-93-ASK; Tharrounia","","","","","","","","","","","","","","","","","","","","","Sampson 1993","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4IGCA56H","bookSection","","Renfrew C.","Archaeology and linguistics: some preliminary issues","","","","","","","","2016-02-04 19:05:38","2016-02-04 19:05:38","","15-24","","","","","","Renfrew C. 1990","","","","","","","","","","","","","","ASCS eingesehen","","","","Indogermanen; Neo75-93-ASK; Neolithikum; Neolithisierung","","","","","","","","","","","","","","","","","","","","","When worlds collide","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68G4D44G","journalArticle","1992","Forsen J.","","JPrehRel","","","","","","1992","2016-02-04 19:05:36","2016-02-04 19:05:36","","624-30","","","","","","Forsen 1992","","","","","","","","","","","","","","","","","","Argolis; Frühbronzezeit; Neo75-93-ASK; Peloponnes; Religion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AXJVBHD4","bookSection","","Lambert N.","Céramiques néolithiques de Kitsos","","","","","","","","2016-02-04 19:05:34","2016-02-04 19:05:34","","275-348","","","","","","Lambert 1981","","","","","","","","","","","","","","","","","","Attika; Keramik; Kitsos Höhle; Mittelgriechenland; Neo75-93-ASK; Neolithikum","","","","","","","","","","","","","","","","","","","","","Kitsos Höhle","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FJI88UXZ","journalArticle","1988","Sampson A.","Nees proistorikes theseis stin Euboia","Anthropologika kai Archaiologika Chronika","","","","","","1988-89","2016-02-04 19:05:32","2016-02-04 19:05:32","","69-87","","","3","","","Sampson 1988-89 a","","","","","","","","","","","","","","","","","","Alles; Euböa; Frühbronzezeit; Grabungsbericht; Mittelgriechenland; Neo75-93-ASK; Neolithikum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CTQAKGUC","journalArticle","1988","McGeehan Liritzis V.","Geomorphological changes in southern Greek west coast lines and the","Anthropologika kai Archaiologika Chronika","","","","","","1988-89","2016-02-04 19:05:31","2016-02-04 19:05:31","","46-60","","","3","","","McGeehan Liritzis 1988-89","","","","","","","","","","","","","","","","","","Frühbronzezeit; Geologie; Neo75-93-ASK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NSUKDNFQ","book","1992","Halstead P.","From reciprocity to redistribution: modelling the exchange of livestock","","","","","","","1992","2016-02-04 19:05:29","2016-02-04 19:05:29","","","","","16","","","Halstead 1992 c","Anthropozoologica","","","","","","","","","","","","","Xerox","","","","Handel; Neo75-93-ASK; Neolithikum; Wirtschaft","","Grant A.","","","","","","","","","","","","","","","","","","","Animals and their Products in Trade and Exchange","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2J4U8T7K","journalArticle","1992","Makkay J.","A neolithic model of indo-european prehistory","JIES","","","","","","1992","2016-02-04 19:05:28","2016-02-04 19:05:28","","193-238","","","20","","","Makkay 1992","","","","","","","","","","","","","","","","","","Indogermanen; Neo75-93-ASK; Neolithikum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IPJFMNXH","journalArticle","1992","Hurcombe L.","L'analyse des traces d'usure sur l'obsidienne","L'anthropologie","","","","","","1992","2016-02-04 19:05:26","2016-02-04 19:05:26","","179-186","","","96","","","Hurcombe 1992","","","","","","","","","","","","","","IUF Z 2951 F: Betrachtet es allgemein und theoretisch","","","","Frühbronzezeit; Neo75-93-ASK; Neolith; Obsidian; Rand","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C2HWRD2Z","book","1981","Theocharis D.R.","Neolithikos politismos. Sintomi episkopisi tis Neolithikis sto elladiko","","","","","","","1981","2016-02-04 19:05:24","2016-02-04 19:05:24","","","","","","","","Theocharis 1981","","","","","","Athen","","","","","","","","","","","","Allgemein; Neo75-93-ASK; Neolithikum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9WVEB9XA","book","1975","Moundrea H.A.","Le site néolithique ancien de Prodromos (Grèce): outillage lithique et","","","","","","","1975","2016-02-04 19:05:22","2016-02-04 19:05:22","","","","","","","","Moundrea 1975","Mémoire de maitrise, dépt d'éthnologie et préhistoire, Université de","","","","","Paris","","","","","","","","","","","","Geräte; Neo75-93-ASK; Neolithikum; Nordgriechenland; Obsidian; Prodromos; Thessalien","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4TQDVHJK","bookSection","","Vitaliano c.J.","The geological survey","","","","","","","","2016-02-04 19:05:19","2016-02-04 19:05:19","","!!!","","","","","","Vitaliano 1987","","","","","","","","","","","","","","","","","","Argolis; Franchthi; Geologie; Neo75-93-ASK; Neolithikum; Peloponnes","","","","","","","","","","","","","","","","","","","","","Jacobsen - Farrand 1987","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DXVFVSQ7","journalArticle","1991","Gallis K.","Portraita apo ti Neolithiki Thessalia","Archaiologia","","","","","","Martios 1991","2016-02-04 19:05:17","2016-02-04 19:05:17","","44-49","","","38","","","Gallis 1991","","","","","","","","","","","","","","","","","","Grabungsbericht; Neo75-93-ASK; Neolithikum; Nordgriechenland; Thessalien","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PQWCDNCZ","bookSection","1989","Renfrew J.M.","Carbonized grain and seeds, in: Gimbutas M. et al., Achilleion, a","","","","","","","1989","2016-02-04 19:05:14","2016-02-04 19:05:14","","307-310","","","","","","Renfrew J.M. 1989","UCLA, Monumenta Archaeologica 14","","","","","Los Angeles","","","","","","","","","","","","Achilleion; Landwirtschaft; Neo75-93-ASK; Neolithikum; Nordgriechenland; Thessalien","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8UKCWRDH","journalArticle","1992","Tartaron Th., Runnels C.","Palaeolithic research at Kokkinopilos in Epirus","OWAN","","","","","","1992","2016-02-04 19:05:12","2016-02-04 19:05:12","","26-30","","","15 (3)","","","Tartaron - Runnels 1992","","","","","","","","","","","","","","","","","","Epirus; Grabungsbericht; Neo75-93-ASK; Nordgriechenland; Paläolithikum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EBG962R5","bookSection","1991","Petrasch J.","Zur absoluten Chronologie des südost- und mitteleuropäischen Neolithikums","","","","","","","1991","2016-02-04 19:05:10","2016-02-04 19:05:10","","65-71","","","","","","Petrasch 1991","","","","","","Resita","","","","","","","","IUF-; wenn nicht erreichbar, dann streichen","","","","Chronologie; Neo75-93-ASK; Neolithikum","","","","","","","","","","","","","","","","","","","","","Banatica 11. Simpozionul International ""Cultura Vinca-Rolul si","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UVSBFK6G","book","1991","Clark G.A. ed.","Perspectives on the Past: Theoretical Biases in Mediterranean","","","","","","","1991","2016-02-04 19:05:09","2016-02-04 19:05:09","","","","","","","","Clark 1991","","","","","","Philadelphia","","","","","","","","","","","","Allgemein; Neo75-93-ASK; Paläolithikum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VDJR2AZS","journalArticle","1992","Latham A.G., Schwarcz H.P.","The Petralona Hominid Site: Uranium-Series Re-Analysis of ""Layer 10""","Archaeometry","","","","","","1992","2016-02-04 19:05:07","2016-02-04 19:05:07","","135-140","","","34","","","Latham - Schwarcz 1992","","","","","","","","","","","","","","","","","","Anthropologie; Geologie; Makedonien; Neo75-93-ASK; Nordgriechenland; Paläolithikum; Petralona","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XV374QXB","bookSection","1991","Kourtessi-Philippakis G.","La Grèce: 1986-1990","","","","","","","1991","2016-02-04 19:05:06","2016-02-04 19:05:06","","27-36","","","","","","Kourtessi-Philippakis 1991","Études et Recherches Archéologiques de l'Université de Liège, ERAUL 52","","","","","Liège","","","","","","","","","","","","Allgemein; Neo75-93-ASK; Paläolithikum","","","","","","","","","","","","","","","","","","","","","Union Internationale des Sciences Préhistoriques et Protohistoriques.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2AQ9J9FE","bookSection","1975","Tamvaki V.","On the interpretation of Cycladic and Mycenean figurines","","","","","","","1975","2016-02-04 19:05:04","2016-02-04 19:05:04","","227-241","","","","","","Tamvaki 1975","","","","","","","","","","","","","","","","","","Alles; Figurinen; Frühbronzezeit; Neo75-93-ASK","","","","","","","","","","","","","","","","","","","","","Les réligions de la préhistoire. Actes du Valcamonica Symposium '72","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7ZHUFMFT","journalArticle","1981","Hellmann B.","Frühe Idole in den Münchner Antikensammlungen","Münchner Jahrbuch der Bildenden Kunst, 3.Folge","","","","","","1981","2016-02-04 19:05:02","2016-02-04 19:05:02","","Jul 24","","","22","","","Hellmann 1981","","","","","","","","","","","","","","","","","","Alles; Figurinen; Frühbronzezeit; Neo75-93-ASK; Neolithikum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZSEDQ3AN","bookSection","1992","Gallis K.","Prosfates erevnes sti Neolithiki Thessalia","","","","","","","1992","2016-02-04 19:05:00","2016-02-04 19:05:00","","202-210","","","","","","Gallis 1992","","","","","","TAPA Athens","","","","","","","","","","","","Grabungsbericht; Neo75-93-ASK; Neolithikum; Nordgriechenland; Thessalien","","","","","","","","","","","","","","","","","","","","","Acts of the International Conference on Ancient Thessaly in Memory of","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RX6AFZTQ","journalArticle","1990","Hekman J.J.","Chalandriani on Syros: an Early Bronze age cemetery in the Cyclades.","Netherlands Institute at Athens, Newsletter","","","","","","1990","2016-02-04 19:04:58","2016-02-04 19:04:58","","19-30","","","3","","","Hekman 1990","","","","","","","","","","","","","","","","","","Frühbronzezeit; Gräber; Grabungsbericht; Kykladen; Neo75-93-ASK; Syros","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8F6Q8V62","journalArticle","1991","Hekman J.J.","The Early Cycladic cemetery at Chalandriani on Syros: report of the 1991","Netherlands Institute at Athens, Newsletter","","","","","","1991","2016-02-04 19:04:56","2016-02-04 19:04:56","","17-43","","","4","","","Hekman 1991","","","","","","","","","","","","","","","","","","Frühbronzezeit; Gräber; Grabungsbericht; Kykladen; Neo75-93-ASK; Syros","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MV8B44NE","journalArticle","1992","Stos-Gale S.","The origin of metal objects from the Early Bronze Age site of Thermi on","OxfJArch","","","","","","1992","2016-02-04 19:04:54","2016-02-04 19:04:54","","155-177","","","11,2","","","Stos-Gale 1992","","","","","","","","","","","","","","","","","","Frühbronzezeit; Kleinasiatische Inseln; Lesbos; Metallurgie; Neo75-93-ASK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4JM7MIKM","book","1984","Skafida E.","Analisi formale e contestuale degli idoli neolitici del sito di Dimini","","","","","","","1984-1985","2016-02-04 19:04:52","2016-02-04 19:04:52","","","","","","","","Skafida 1984-1985","Dissertation","","","","","Università degli Studi di Pisa","","","","","","","","","","","","Dimini; Figurinen; Neo75-93-ASK; Neolithikum; Nordgriechenland; Thessalien","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C2G36DGX","journalArticle","1990","Pennas H.","Point Iria Wreck","Enalia","","","","","","1990 (1992)","2016-02-04 19:04:50","2016-02-04 19:04:50","","39-41","","","2","","","Pennas 1990","","","","","","","","","","","","","","","","","","Argolis; Dokos ?; Frühbronzezeit; Grabungsbericht; Neo75-93-ASK; Peloponnes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZZARRRV2","journalArticle","1989","Kotsakis K., Andreou S.","Prokatarktikes paratiriseis stis architektonikes phaseis tou oikismou","AErgoMak","","","","","","1989","2016-02-04 19:04:48","2016-02-04 19:04:48","","201-213","","","3","","","Kotsakis - Andreou 1989","","","","","","","","","","","","","","","","","","Alles; Frühbronzezeit; Grabungsbericht; Makedonien Zentral; Neo75-93-ASK; Nordgriechenland; Toumba Thessalonikis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9RZ7RICG","journalArticle","1989","Karamitrou-Mentesidi G.","Apo tin anaskaphiki erevna stin Aiani","AErgoMak","","","","","","1989","2016-02-04 19:04:45","2016-02-04 19:04:45","","45-57","","","3","","","Karamitrou-Mentesidi 1989","","","","","","","","","","","","","","Mykenische Funde","","","","Alles; Grabungsbericht; Makedonien; Neo75-93-ASK; Nordgriechenland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PKM3DQNX","journalArticle","1989","Carington-Smith J., Vokotopoulou I.","Anaskaphi ston Koukou Sykias","AErgoMak","","","","","","1989","2016-02-04 19:04:43","2016-02-04 19:04:43","","425-438","","","3","","","Carington-Smith - Vokotopoulou 1989","","","","","","","","","","","","","","FEz","","","","Alles; Grabungsbericht; Makedonien; Neo75-93-ASK; Nordgriechenland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8DV3S7UZ","journalArticle","1989","Matsas D., Karadima C., Koutsoumanis M.","Archaiologikes ergasies Samothrakis","AErgoMak","","","","","","1989","2016-02-04 19:04:41","2016-02-04 19:04:41","","607-614","","","3","","","Matsas - Karadima - Koutsoumanis 1989","","","","","","","","","","","","","","","","","","Alles; Frühbronzezeit; Grabungsbericht; Neo75-93-ASK; Nordgriechenland; Samothrake","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6WPATJ7I","journalArticle","1989","Pappa M.","Ochyromenos oikismos sto Kavallari","AErgoMak","","","","","","1989","2016-02-04 19:04:36","2016-02-04 19:04:36","","331-338","","","3","","","Pappa 1989","","","","","","","","","","","","","","SBz, FEz","","","","Alles; Grabungsbericht; Kavallari; Makedonien; Neo75-93-ASK; Nordgriechenland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WM6BJBNI","bookSection","1991","Warren P.M.","A merchant class in Bronze Age Crete? The evidence of Egyptian stone","","","","","","","1991","2016-02-04 19:04:22","2016-02-04 19:04:22","","295-301","","","","","","Warren 1991","SIMA 90","","","","","Göteborg","","","","","","","","","","","","Alles; Frühbronzezeit ?; Gefäße; Handel; Knossos; Kreta; Neo75-93-ASK","","Gale N.H.","","","","","","","","","","","","","","","","","","","Science and Archaeology: Bronze Age","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CDBWZM8E","bookSection","1991","Bass G.F.","Evidence of trade from Bronze Age shipwrecks","","","","","","","1991","2016-02-04 19:04:20","2016-02-04 19:04:20","","69-82","","","","","","Bass 1991","SIMA 90","","","","","Göteborg","","","","","","","","","","","","Alles; Frühbronzezeit; Handel; Neo75-93-ASK; Transport","","Gale N.H.","","","","","","","","","","","","","","","","","","","Science and Archaeology: Bronze Age Trade in the Mediterranean","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9DNAPWQ6","journalArticle","1990","Vossyniotis S.","Dokos: 1990 Campaign. The SHARPS and the mechanical equipment","Enalia","","","","","","1990 (1992)","2016-02-04 19:04:18","2016-02-04 19:04:18","","36-38","","","2","","","Vossyiotis 1990","","","","","","","","","","","","","","","","","","Argolis; Dokos; Frühbronzezeit; Grabungsbericht; Neo75-93-ASK; Peloponnes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K6RIA3T8","journalArticle","1990","Kyriakopoulou V.","Dokos: 1990 Campain. Topographical Survey","Enalia","","","","","","1990 (1992)","2016-02-04 19:04:16","2016-02-04 19:04:16","","24-35","","","2","","","Kyriakopoulou 1990","","","","","","","","","","","","","","","","","","Argolis; Dokos; Frühbronzezeit; Grabungsbericht; Neo75-93-ASK; Peloponnes; Topographie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"825WJMU6","journalArticle","1990","Papathanassopoulos G., Vichos G., Chadzidaki E., Lolos G.","Dokos: 1990 Campain","Enalia","","","","","","1990 (1992)","2016-02-04 19:04:14","2016-02-04 19:04:14","","Jun 23","","","2","","","Papathanassopoulos et al. 1990","","","","","","","","","","","","","","","","","","Argolis; Dokos; Frühbronzezeit; Grabungsbericht; Neo75-93-ASK; Peloponnes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GGFW89S8","journalArticle","1991","Bloedow E.F.","The ""Aceramic"" neolithic phase in Greece reconsidered","Mediterranean Archaeology","","","","","","1991","2016-02-04 19:04:13","2016-02-04 19:04:13","","Jan 43","","","4","","","Bloedow 1991","","","","","","","","","","","","","","Xerox","","","","Neo75-93-ASK; Neolithikum; Neolithisierung; Präkeramikum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q76PNWMV","bookSection","1992","Blitzer H.","The chipped stone, ground stone, and worked bone industries","","","","","","","1992","2016-02-04 19:04:11","2016-02-04 19:04:11","","712-756","","","","","","Blitzer 1992","","","","","","Minneapolis","","","","","","","","Durchgesehen; einziges N Gerät bei Howell erwähnt; in Nichoria nicht","","","","Alles; Geräte; Messenien; Mittlere Bronzezeit; Neo75-93-ASK; Nichoria; Peloponnes","","McDonald W.A., Wilkie N.C.","","","","","","","","","","","","","","","","","","","Excavations at Nichoria in Southwest Greece. Volume II. The Bronze","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T2DEUE92","journalArticle","1983","Freund G.","Zur Silexindustrie der Samari-Magula (Boibe-See), Thessalien","PZ","","","","","","1983","2016-02-04 19:04:09","2016-02-04 19:04:09","","94-105","","","58 (1)","","","Freund 1983","","","","","","","","","","","","","","","","","","Mesolith; Neo75-93-ASK; Nordgriechenland; Obsidian; Samari; Thessalien","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
